benchmark for testdata/ada_1M_000perc.txt
rdtsc_overhead set to 28
lookup_ada_pext               	:    33.205 cycle/op (best)   33.448 cycle/op (avg)
lookup_modula_hash2           	:    71.222 cycle/op (best)   71.309 cycle/op (avg)
lookup_modula_hash3           	:    51.908 cycle/op (best)   52.468 cycle/op (avg)
lookup_modula_hash_sum0       	:    69.194 cycle/op (best)   69.351 cycle/op (avg)
lookup_modula_hash_sumN       	:    70.086 cycle/op (best)   70.333 cycle/op (avg)
lookup_modula_hash_djb2       	:    61.944 cycle/op (best)   62.248 cycle/op (avg)
lookup_modula_hash_sdb        	:    63.621 cycle/op (best)   63.703 cycle/op (avg)
lookup_modula_split           	:    63.794 cycle/op (best)   63.832 cycle/op (avg)
lookup_modula_pext            	:    45.296 cycle/op (best)   45.352 cycle/op (avg)
benchmark for testdata/modula_1M_075perc.txt
lookup_modula_hash1           	:    58.108 cycle/op (best)   58.348 cycle/op (avg)
lookup_modula_hash2           	:    62.855 cycle/op (best)   62.917 cycle/op (avg)
lookup_modula_hash3           	:    45.922 cycle/op (best)   45.985 cycle/op (avg)
lookup_modula_hash_sum0       	:    69.944 cycle/op (best)   70.022 cycle/op (avg)
lookup_modula_hash_sumN       	:    70.166 cycle/op (best)   70.248 cycle/op (avg)
lookup_modula_hash_djb2       	:    56.493 cycle/op (best)   56.841 cycle/op (avg)
lookup_modula_hash_sdb        	:    57.839 cycle/op (best)   58.019 cycle/op (avg)
lookup_modula_split           	:    61.262 cycle/op (best)   61.325 cycle/op (avg)
lookup_modula_pext            	:    39.604 cycle/op (best)   39.657 cycle/op (avg)
benchmark for testdata/modula2_1M_000perc.txt
lookup_modula2_split          	:    58.010 cycle/op (best)   58.300 cycle/op (avg)
lookup_modula2_hash1          	:    69.440 cycle/op (best)   69.854 cycle/op (avg)
lookup_modula2_hash2          	:    69.660 cycle/op (best)   69.911 cycle/op (avg)
lookup_modula2_hash3          	:    41.982 cycle/op (best)   42.098 cycle/op (avg)
lookup_modula2_hash_sum0      	:    45.713 cycle/op (best)   45.854 cycle/op (avg)
lookup_modula2_hash_sumN      	:    53.045 cycle/op (best)   53.096 cycle/op (avg)
lookup_modula2_hash_djb2      	:    40.879 cycle/op (best)   40.940 cycle/op (avg)
lookup_modula2_hash_sdb       	:    45.224 cycle/op (best)   45.302 cycle/op (avg)
lookup_modula2_pext           	:    31.871 cycle/op (best)   31.920 cycle/op (avg)
benchmark for testdata/modula2_1M_010perc.txt
lookup_modula2_split          	:    60.382 cycle/op (best)   60.675 cycle/op (avg)
lookup_modula2_hash1          	:    72.184 cycle/op (best)   72.435 cycle/op (avg)
lookup_modula2_hash2          	:    74.668 cycle/op (best)   74.869 cycle/op (avg)
lookup_modula2_hash3          	:    49.404 cycle/op (best)   49.537 cycle/op (avg)
lookup_modula2_hash_sum0      	:    53.025 cycle/op (best)   53.092 cycle/op (avg)
lookup_modula2_hash_sumN      	:    58.951 cycle/op (best)   59.101 cycle/op (avg)
lookup_modula2_hash_djb2      	:    45.194 cycle/op (best)   45.267 cycle/op (avg)
lookup_modula2_hash_sdb       	:    49.643 cycle/op (best)   49.675 cycle/op (avg)
lookup_modula2_pext           	:    35.619 cycle/op (best)   35.682 cycle/op (avg)
benchmark for testdata/modula2_1M_025perc.txt
lookup_modula2_split          	:    62.073 cycle/op (best)   62.339 cycle/op (avg)
lookup_modula2_hash1          	:    74.370 cycle/op (best)   74.469 cycle/op (avg)
lookup_modula2_hash2          	:    78.431 cycle/op (best)   78.547 cycle/op (avg)
lookup_modula2_hash3          	:    56.112 cycle/op (best)   56.228 cycle/op (avg)
lookup_modula2_hash_sum0      	:    57.017 cycle/op (best)   57.131 cycle/op (avg)
lookup_modula2_hash_sumN      	:    63.659 cycle/op (best)   63.716 cycle/op (avg)
lookup_modula2_hash_djb2      	:    51.744 cycle/op (best)   51.868 cycle/op (avg)
lookup_modula2_hash_sdb       	:    55.326 cycle/op (best)   55.556 cycle/op (avg)
lookup_modula2_pext           	:    40.217 cycle/op (best)   40.340 cycle/op (avg)
benchmark for testdata/modula2_1M_050perc.txt
lookup_modula2_split          	:    57.858 cycle/op (best)   58.300 cycle/op (avg)
lookup_modula2_hash1          	:    67.048 cycle/op (best)   67.220 cycle/op (avg)
lookup_modula2_hash2          	:    77.686 cycle/op (best)   77.807 cycle/op (avg)
lookup_modula2_hash3          	:    51.125 cycle/op (best)   51.393 cycle/op (avg)
lookup_modula2_hash_sum0      	:    71.585 cycle/op (best)   71.784 cycle/op (avg)
lookup_modula2_hash_sumN      	:    74.125 cycle/op (best)   74.297 cycle/op (avg)
lookup_modula2_hash_djb2      	:    61.835 cycle/op (best)   61.909 cycle/op (avg)
lookup_modula2_hash_sdb       	:    63.206 cycle/op (best)   63.308 cycle/op (avg)
lookup_modula2_pext           	:    44.704 cycle/op (best)   44.774 cycle/op (avg)
benchmark for testdata/modula2_1M_075perc.txt
lookup_modula2_split          	:    58.327 cycle/op (best)   58.567 cycle/op (avg)
lookup_modula2_hash1          	:    60.741 cycle/op (best)   60.764 cycle/op (avg)
lookup_modula2_hash2          	:    65.477 cycle/op (best)   65.587 cycle/op (avg)
lookup_modula2_hash3          	:    47.325 cycle/op (best)   47.362 cycle/op (avg)
lookup_modula2_hash_sum0      	:    64.892 cycle/op (best)   65.040 cycle/op (avg)
lookup_modula2_hash_sumN      	:    68.239 cycle/op (best)   68.299 cycle/op (avg)
lookup_modula2_hash_djb2      	:    56.798 cycle/op (best)   56.887 cycle/op (avg)
lookup_modula2_hash_sdb       	:    59.782 cycle/op (best)   59.885 cycle/op (avg)
lookup_modula2_pext           	:    38.372 cycle/op (best)   38.418 cycle/op (avg)
benchmark for testdata/modula3_1M_000perc.txt
lookup_modula3_pext           	:    32.150 cycle/op (best)   32.422 cycle/op (avg)
lookup_modula3_split          	:    56.673 cycle/op (best)   56.730 cycle/op (avg)
lookup_modula3_hash1          	:    70.238 cycle/op (best)   70.428 cycle/op (avg)
lookup_modula3_hash2          	:    71.593 cycle/op (best)   71.688 cycle/op (avg)
lookup_modula3_hash3          	:    43.701 cycle/op (best)   43.923 cycle/op (avg)
lookup_modula3_hash_sum0      	:    50.160 cycle/op (best)   50.280 cycle/op (avg)
lookup_modula3_hash_sumN      	:    50.199 cycle/op (best)   50.354 cycle/op (avg)
lookup_modula3_hash_djb2      	:    40.961 cycle/op (best)   41.011 cycle/op (avg)
lookup_modula3_hash_sdb       	:    40.656 cycle/op (best)   40.746 cycle/op (avg)
benchmark for testdata/modula3_1M_010perc.txt
lookup_modula3_pext           	:    35.639 cycle/op (best)   35.940 cycle/op (avg)
lookup_modula3_split          	:    58.865 cycle/op (best)   58.897 cycle/op (avg)
lookup_modula3_hash1          	:    71.925 cycle/op (best)   72.114 cycle/op (avg)
lookup_modula3_hash2          	:    74.596 cycle/op (best)   74.706 cycle/op (avg)
lookup_modula3_hash3          	:    50.342 cycle/op (best)   50.469 cycle/op (avg)
lookup_modula3_hash_sum0      	:    55.116 cycle/op (best)   55.187 cycle/op (avg)
lookup_modula3_hash_sumN      	:    54.830 cycle/op (best)   54.923 cycle/op (avg)
lookup_modula3_hash_djb2      	:    44.732 cycle/op (best)   44.784 cycle/op (avg)
lookup_modula3_hash_sdb       	:    45.136 cycle/op (best)   45.245 cycle/op (avg)
benchmark for testdata/modula3_1M_025perc.txt
lookup_modula3_pext           	:    40.285 cycle/op (best)   40.558 cycle/op (avg)
lookup_modula3_split          	:    61.463 cycle/op (best)   61.500 cycle/op (avg)
lookup_modula3_hash1          	:    73.428 cycle/op (best)   73.673 cycle/op (avg)
lookup_modula3_hash2          	:    76.390 cycle/op (best)   76.461 cycle/op (avg)
lookup_modula3_hash3          	:    56.683 cycle/op (best)   56.764 cycle/op (avg)
lookup_modula3_hash_sum0      	:    61.090 cycle/op (best)   61.136 cycle/op (avg)
lookup_modula3_hash_sumN      	:    61.300 cycle/op (best)   61.343 cycle/op (avg)
lookup_modula3_hash_djb2      	:    51.037 cycle/op (best)   51.157 cycle/op (avg)
lookup_modula3_hash_sdb       	:    51.756 cycle/op (best)   51.905 cycle/op (avg)
benchmark for testdata/modula3_1M_050perc.txt
lookup_modula3_pext           	:    45.302 cycle/op (best)   45.591 cycle/op (avg)
lookup_modula3_split          	:    63.684 cycle/op (best)   63.716 cycle/op (avg)
lookup_modula3_hash1          	:    70.788 cycle/op (best)   70.890 cycle/op (avg)
lookup_modula3_hash2          	:    69.772 cycle/op (best)   69.862 cycle/op (avg)
lookup_modula3_hash3          	:    55.216 cycle/op (best)   55.397 cycle/op (avg)
lookup_modula3_hash_sum0      	:    68.904 cycle/op (best)   69.347 cycle/op (avg)
lookup_modula3_hash_sumN      	:    69.347 cycle/op (best)   69.466 cycle/op (avg)
lookup_modula3_hash_djb2      	:    59.259 cycle/op (best)   59.548 cycle/op (avg)
lookup_modula3_hash_sdb       	:    61.055 cycle/op (best)   61.214 cycle/op (avg)
benchmark for testdata/modula3_1M_075perc.txt
lookup_modula3_pext           	:    39.023 cycle/op (best)   39.288 cycle/op (avg)
lookup_modula3_split          	:    58.647 cycle/op (best)   58.691 cycle/op (avg)
lookup_modula3_hash1          	:    60.962 cycle/op (best)   61.043 cycle/op (avg)
lookup_modula3_hash2          	:    63.716 cycle/op (best)   63.820 cycle/op (avg)
lookup_modula3_hash3          	:    46.283 cycle/op (best)   46.467 cycle/op (avg)
lookup_modula3_hash_sum0      	:    70.239 cycle/op (best)   70.452 cycle/op (avg)
lookup_modula3_hash_sumN      	:    69.734 cycle/op (best)   69.840 cycle/op (avg)
lookup_modula3_hash_djb2      	:    56.196 cycle/op (best)   56.296 cycle/op (avg)
lookup_modula3_hash_sdb       	:    51.661 cycle/op (best)   51.747 cycle/op (avg)
benchmark for testdata/pascal_1M_000perc.txt
lookup_pascal_pext            	:    32.612 cycle/op (best)   32.891 cycle/op (avg)
lookup_pascal_split           	:    56.465 cycle/op (best)   56.535 cycle/op (avg)
lookup_pascal_hash1           	:    66.032 cycle/op (best)   66.179 cycle/op (avg)
lookup_pascal_hash2           	:    57.360 cycle/op (best)   57.471 cycle/op (avg)
lookup_pascal_hash3           	:    39.589 cycle/op (best)   39.658 cycle/op (avg)
lookup_pascal_hash_sum0       	:    42.789 cycle/op (best)   42.858 cycle/op (avg)
lookup_pascal_hash_sumN       	:    49.749 cycle/op (best)   49.927 cycle/op (avg)
lookup_pascal_hash_djb2       	:    41.329 cycle/op (best)   41.405 cycle/op (avg)
lookup_pascal_hash_sdb        	:    45.776 cycle/op (best)   45.975 cycle/op (avg)
benchmark for testdata/pascal_1M_010perc.txt
lookup_pascal_pext            	:    36.009 cycle/op (best)   36.296 cycle/op (avg)
lookup_pascal_split           	:    59.127 cycle/op (best)   59.203 cycle/op (avg)
lookup_pascal_hash1           	:    70.425 cycle/op (best)   70.540 cycle/op (avg)
lookup_pascal_hash2           	:    58.993 cycle/op (best)   59.195 cycle/op (avg)
lookup_pascal_hash3           	:    46.659 cycle/op (best)   46.936 cycle/op (avg)
lookup_pascal_hash_sum0       	:    46.973 cycle/op (best)   47.116 cycle/op (avg)
lookup_pascal_hash_sumN       	:    54.854 cycle/op (best)   54.931 cycle/op (avg)
lookup_pascal_hash_djb2       	:    45.633 cycle/op (best)   45.681 cycle/op (avg)
lookup_pascal_hash_sdb        	:    49.452 cycle/op (best)   49.484 cycle/op (avg)
benchmark for testdata/pascal_1M_025perc.txt
lookup_pascal_pext            	:    40.319 cycle/op (best)   40.569 cycle/op (avg)
lookup_pascal_split           	:    61.196 cycle/op (best)   61.232 cycle/op (avg)
lookup_pascal_hash1           	:    75.192 cycle/op (best)   75.373 cycle/op (avg)
lookup_pascal_hash2           	:    59.724 cycle/op (best)   59.843 cycle/op (avg)
lookup_pascal_hash3           	:    55.371 cycle/op (best)   55.501 cycle/op (avg)
lookup_pascal_hash_sum0       	:    52.500 cycle/op (best)   52.635 cycle/op (avg)
lookup_pascal_hash_sumN       	:    60.967 cycle/op (best)   61.089 cycle/op (avg)
lookup_pascal_hash_djb2       	:    52.376 cycle/op (best)   52.583 cycle/op (avg)
lookup_pascal_hash_sdb        	:    56.049 cycle/op (best)   56.115 cycle/op (avg)
benchmark for testdata/pascal_1M_050perc.txt
lookup_pascal_pext            	:    44.178 cycle/op (best)   44.419 cycle/op (avg)
lookup_pascal_split           	:    58.030 cycle/op (best)   58.059 cycle/op (avg)
lookup_pascal_hash1           	:    70.145 cycle/op (best)   70.269 cycle/op (avg)
lookup_pascal_hash2           	:    56.489 cycle/op (best)   56.642 cycle/op (avg)
lookup_pascal_hash3           	:    51.044 cycle/op (best)   51.305 cycle/op (avg)
lookup_pascal_hash_sum0       	:    59.013 cycle/op (best)   59.080 cycle/op (avg)
lookup_pascal_hash_sumN       	:    67.102 cycle/op (best)   67.470 cycle/op (avg)
lookup_pascal_hash_djb2       	:    62.201 cycle/op (best)   62.336 cycle/op (avg)
lookup_pascal_hash_sdb        	:    63.830 cycle/op (best)   63.966 cycle/op (avg)
benchmark for testdata/pascal_1M_075perc.txt
lookup_pascal_pext            	:    38.968 cycle/op (best)   39.254 cycle/op (avg)
lookup_pascal_split           	:    58.260 cycle/op (best)   58.374 cycle/op (avg)
lookup_pascal_hash1           	:    65.053 cycle/op (best)   65.293 cycle/op (avg)
lookup_pascal_hash2           	:    46.406 cycle/op (best)   46.450 cycle/op (avg)
lookup_pascal_hash3           	:    48.817 cycle/op (best)   48.889 cycle/op (avg)
lookup_pascal_hash_sum0       	:    54.742 cycle/op (best)   54.826 cycle/op (avg)
lookup_pascal_hash_sumN       	:    66.581 cycle/op (best)   66.810 cycle/op (avg)
lookup_pascal_hash_djb2       	:    55.770 cycle/op (best)   55.932 cycle/op (avg)
lookup_pascal_hash_sdb        	:    56.624 cycle/op (best)   56.732 cycle/op (avg)
benchmark for testdata/sneller_1M_000perc.txt
lookup_sneller_pext           	:    36.320 cycle/op (best)   36.573 cycle/op (avg)
lookup_sneller_hash1          	:   111.367 cycle/op (best)  111.593 cycle/op (avg)
lookup_sneller_hash2          	:   107.710 cycle/op (best)  107.901 cycle/op (avg)
lookup_sneller_hash3          	:    85.246 cycle/op (best)   85.393 cycle/op (avg)
lookup_sneller_hash_sum0      	:    63.462 cycle/op (best)   63.669 cycle/op (avg)
lookup_sneller_hash_sumN      	:    68.168 cycle/op (best)   68.260 cycle/op (avg)
lookup_sneller_hash_djb2      	:    67.256 cycle/op (best)   67.350 cycle/op (avg)
lookup_sneller_hash_sdb       	:    50.368 cycle/op (best)   50.480 cycle/op (avg)
lookup_sneller_split          	:    84.982 cycle/op (best)   85.156 cycle/op (avg)
benchmark for testdata/sneller_1M_010perc.txt
lookup_sneller_pext           	:    41.093 cycle/op (best)   41.337 cycle/op (avg)
lookup_sneller_hash1          	:   110.494 cycle/op (best)  110.824 cycle/op (avg)
lookup_sneller_hash2          	:   109.845 cycle/op (best)  110.176 cycle/op (avg)
lookup_sneller_hash3          	:    91.890 cycle/op (best)   92.079 cycle/op (avg)
lookup_sneller_hash_sum0      	:    70.021 cycle/op (best)   70.228 cycle/op (avg)
lookup_sneller_hash_sumN      	:    72.581 cycle/op (best)   72.681 cycle/op (avg)
lookup_sneller_hash_djb2      	:    71.868 cycle/op (best)   71.964 cycle/op (avg)
lookup_sneller_hash_sdb       	:    56.592 cycle/op (best)   56.685 cycle/op (avg)
lookup_sneller_split          	:    85.659 cycle/op (best)   85.769 cycle/op (avg)
benchmark for testdata/sneller_1M_025perc.txt
lookup_sneller_pext           	:    45.183 cycle/op (best)   45.423 cycle/op (avg)
lookup_sneller_hash1          	:   109.839 cycle/op (best)  110.078 cycle/op (avg)
lookup_sneller_hash2          	:   108.254 cycle/op (best)  108.551 cycle/op (avg)
lookup_sneller_hash3          	:    91.378 cycle/op (best)   91.581 cycle/op (avg)
lookup_sneller_hash_sum0      	:    79.077 cycle/op (best)   79.314 cycle/op (avg)
lookup_sneller_hash_sumN      	:    81.573 cycle/op (best)   81.841 cycle/op (avg)
lookup_sneller_hash_djb2      	:    80.457 cycle/op (best)   80.539 cycle/op (avg)
lookup_sneller_hash_sdb       	:    64.126 cycle/op (best)   64.250 cycle/op (avg)
lookup_sneller_split          	:    91.961 cycle/op (best)   92.064 cycle/op (avg)
benchmark for testdata/sneller_1M_050perc.txt
lookup_sneller_pext           	:    48.151 cycle/op (best)   48.403 cycle/op (avg)
lookup_sneller_hash1          	:   101.950 cycle/op (best)  102.268 cycle/op (avg)
lookup_sneller_hash2          	:    99.635 cycle/op (best)  100.120 cycle/op (avg)
lookup_sneller_hash3          	:    86.665 cycle/op (best)   86.976 cycle/op (avg)
lookup_sneller_hash_sum0      	:    87.853 cycle/op (best)   88.028 cycle/op (avg)
lookup_sneller_hash_sumN      	:    90.652 cycle/op (best)   90.823 cycle/op (avg)
lookup_sneller_hash_djb2      	:    92.011 cycle/op (best)   92.108 cycle/op (avg)
lookup_sneller_hash_sdb       	:    77.158 cycle/op (best)   77.365 cycle/op (avg)
lookup_sneller_split          	:    91.272 cycle/op (best)   91.472 cycle/op (avg)
benchmark for testdata/sneller_1M_075perc.txt
lookup_sneller_pext           	:    41.589 cycle/op (best)   41.828 cycle/op (avg)
lookup_sneller_hash1          	:    87.034 cycle/op (best)   87.224 cycle/op (avg)
lookup_sneller_hash2          	:    84.686 cycle/op (best)   84.851 cycle/op (avg)
lookup_sneller_hash3          	:    76.522 cycle/op (best)   76.654 cycle/op (avg)
lookup_sneller_hash_sum0      	:    90.404 cycle/op (best)   90.648 cycle/op (avg)
lookup_sneller_hash_sumN      	:    92.295 cycle/op (best)   92.497 cycle/op (avg)
lookup_sneller_hash_djb2      	:    94.847 cycle/op (best)   94.916 cycle/op (avg)
lookup_sneller_hash_sdb       	:    80.365 cycle/op (best)   80.574 cycle/op (avg)
lookup_sneller_split          	:    85.136 cycle/op (best)   85.390 cycle/op (avg)
benchmark for testdata/snellerbuiltin_1M_000perc.txt
lookup_snellerbuiltin_split   	:    67.340 cycle/op (best)   67.530 cycle/op (avg)
lookup_snellerbuiltin_hash1   	:   118.587 cycle/op (best)  118.903 cycle/op (avg)
lookup_snellerbuiltin_hash2   	:   123.167 cycle/op (best)  123.687 cycle/op (avg)
lookup_snellerbuiltin_hash3   	:   105.748 cycle/op (best)  105.977 cycle/op (avg)
lookup_snellerbuiltin_hash_sum0	:    62.240 cycle/op (best)   62.353 cycle/op (avg)
lookup_snellerbuiltin_hash_sumN	:    59.275 cycle/op (best)   59.353 cycle/op (avg)
lookup_snellerbuiltin_hash_djb2	:    59.079 cycle/op (best)   59.330 cycle/op (avg)
lookup_snellerbuiltin_hash_sdb	:    53.430 cycle/op (best)   54.017 cycle/op (avg)
lookup_snellerbuiltin_pext    	:    39.237 cycle/op (best)   39.294 cycle/op (avg)
benchmark for testdata/snellerbuiltin_1M_010perc.txt
lookup_snellerbuiltin_split   	:    70.798 cycle/op (best)   71.060 cycle/op (avg)
lookup_snellerbuiltin_hash1   	:   119.859 cycle/op (best)  120.144 cycle/op (avg)
lookup_snellerbuiltin_hash2   	:   123.097 cycle/op (best)  123.454 cycle/op (avg)
lookup_snellerbuiltin_hash3   	:   108.331 cycle/op (best)  108.701 cycle/op (avg)
lookup_snellerbuiltin_hash_sum0	:    67.730 cycle/op (best)   67.853 cycle/op (avg)
lookup_snellerbuiltin_hash_sumN	:    64.655 cycle/op (best)   64.920 cycle/op (avg)
lookup_snellerbuiltin_hash_djb2	:    64.775 cycle/op (best)   64.946 cycle/op (avg)
lookup_snellerbuiltin_hash_sdb	:    58.736 cycle/op (best)   58.790 cycle/op (avg)
lookup_snellerbuiltin_pext    	:    43.316 cycle/op (best)   43.444 cycle/op (avg)
benchmark for testdata/snellerbuiltin_1M_025perc.txt
lookup_snellerbuiltin_split   	:    72.819 cycle/op (best)   73.068 cycle/op (avg)
lookup_snellerbuiltin_hash1   	:   116.158 cycle/op (best)  116.432 cycle/op (avg)
lookup_snellerbuiltin_hash2   	:   120.144 cycle/op (best)  120.432 cycle/op (avg)
lookup_snellerbuiltin_hash3   	:   109.157 cycle/op (best)  109.458 cycle/op (avg)
lookup_snellerbuiltin_hash_sum0	:    74.920 cycle/op (best)   75.189 cycle/op (avg)
lookup_snellerbuiltin_hash_sumN	:    70.962 cycle/op (best)   71.056 cycle/op (avg)
lookup_snellerbuiltin_hash_djb2	:    72.513 cycle/op (best)   72.624 cycle/op (avg)
lookup_snellerbuiltin_hash_sdb	:    68.367 cycle/op (best)   68.470 cycle/op (avg)
lookup_snellerbuiltin_pext    	:    47.749 cycle/op (best)   47.811 cycle/op (avg)
benchmark for testdata/snellerbuiltin_1M_050perc.txt
lookup_snellerbuiltin_split   	:    70.722 cycle/op (best)   70.976 cycle/op (avg)
lookup_snellerbuiltin_hash1   	:   109.082 cycle/op (best)  109.468 cycle/op (avg)
lookup_snellerbuiltin_hash2   	:   105.144 cycle/op (best)  105.661 cycle/op (avg)
lookup_snellerbuiltin_hash3   	:   102.811 cycle/op (best)  103.129 cycle/op (avg)
lookup_snellerbuiltin_hash_sum0	:    84.301 cycle/op (best)   84.421 cycle/op (avg)
lookup_snellerbuiltin_hash_sumN	:    82.689 cycle/op (best)   82.899 cycle/op (avg)
lookup_snellerbuiltin_hash_djb2	:    83.617 cycle/op (best)   83.871 cycle/op (avg)
lookup_snellerbuiltin_hash_sdb	:    81.318 cycle/op (best)   81.415 cycle/op (avg)
lookup_snellerbuiltin_pext    	:    49.155 cycle/op (best)   49.299 cycle/op (avg)
benchmark for testdata/snellerbuiltin_1M_075perc.txt
lookup_snellerbuiltin_split   	:    70.037 cycle/op (best)   70.387 cycle/op (avg)
lookup_snellerbuiltin_hash1   	:    89.627 cycle/op (best)   89.879 cycle/op (avg)
lookup_snellerbuiltin_hash2   	:    90.619 cycle/op (best)   90.982 cycle/op (avg)
lookup_snellerbuiltin_hash3   	:    87.784 cycle/op (best)   88.195 cycle/op (avg)
lookup_snellerbuiltin_hash_sum0	:    86.589 cycle/op (best)   86.784 cycle/op (avg)
lookup_snellerbuiltin_hash_sumN	:    81.205 cycle/op (best)   81.349 cycle/op (avg)
lookup_snellerbuiltin_hash_djb2	:    86.054 cycle/op (best)   86.480 cycle/op (avg)
lookup_snellerbuiltin_hash_sdb	:    74.381 cycle/op (best)   74.493 cycle/op (avg)
lookup_snellerbuiltin_pext    	:    43.153 cycle/op (best)   43.237 cycle/op (avg)
benchmark for testdata/states_1M_000perc.txt
lookup_states_pext            	:    37.218 cycle/op (best)   37.505 cycle/op (avg)
lookup_states_split           	:    66.255 cycle/op (best)   66.428 cycle/op (avg)
lookup_states_hash1           	:    88.444 cycle/op (best)   88.698 cycle/op (avg)
lookup_states_hash2           	:    95.520 cycle/op (best)   95.666 cycle/op (avg)
lookup_states_hash3           	:    66.759 cycle/op (best)   66.898 cycle/op (avg)
lookup_states_hash_sum0       	:    47.998 cycle/op (best)   48.074 cycle/op (avg)
lookup_states_hash_sumN       	:    51.324 cycle/op (best)   51.379 cycle/op (avg)
lookup_states_hash_djb2       	:    48.319 cycle/op (best)   48.375 cycle/op (avg)
lookup_states_hash_sdb        	:    45.257 cycle/op (best)   45.330 cycle/op (avg)
benchmark for testdata/states_1M_010perc.txt
lookup_states_pext            	:    41.003 cycle/op (best)   41.250 cycle/op (avg)
lookup_states_split           	:    64.466 cycle/op (best)   64.556 cycle/op (avg)
lookup_states_hash1           	:    92.533 cycle/op (best)   92.656 cycle/op (avg)
lookup_states_hash2           	:    94.430 cycle/op (best)   94.731 cycle/op (avg)
lookup_states_hash3           	:    71.133 cycle/op (best)   71.249 cycle/op (avg)
lookup_states_hash_sum0       	:    53.867 cycle/op (best)   54.146 cycle/op (avg)
lookup_states_hash_sumN       	:    56.344 cycle/op (best)   56.483 cycle/op (avg)
lookup_states_hash_djb2       	:    51.666 cycle/op (best)   51.731 cycle/op (avg)
lookup_states_hash_sdb        	:    50.812 cycle/op (best)   50.889 cycle/op (avg)
benchmark for testdata/states_1M_025perc.txt
lookup_states_pext            	:    45.845 cycle/op (best)   46.142 cycle/op (avg)
lookup_states_split           	:    71.064 cycle/op (best)   71.196 cycle/op (avg)
lookup_states_hash1           	:    88.767 cycle/op (best)   89.195 cycle/op (avg)
lookup_states_hash2           	:    95.416 cycle/op (best)   95.619 cycle/op (avg)
lookup_states_hash3           	:    67.493 cycle/op (best)   67.674 cycle/op (avg)
lookup_states_hash_sum0       	:    62.884 cycle/op (best)   63.356 cycle/op (avg)
lookup_states_hash_sumN       	:    63.152 cycle/op (best)   63.868 cycle/op (avg)
lookup_states_hash_djb2       	:    59.574 cycle/op (best)   60.298 cycle/op (avg)
lookup_states_hash_sdb        	:    59.314 cycle/op (best)   59.691 cycle/op (avg)
benchmark for testdata/states_1M_050perc.txt
lookup_states_pext            	:    47.527 cycle/op (best)   47.786 cycle/op (avg)
lookup_states_split           	:    69.237 cycle/op (best)   69.298 cycle/op (avg)
lookup_states_hash1           	:    80.988 cycle/op (best)   81.319 cycle/op (avg)
lookup_states_hash2           	:    87.175 cycle/op (best)   87.428 cycle/op (avg)
lookup_states_hash3           	:    60.974 cycle/op (best)   61.046 cycle/op (avg)
lookup_states_hash_sum0       	:    69.386 cycle/op (best)   69.470 cycle/op (avg)
lookup_states_hash_sumN       	:    68.722 cycle/op (best)   68.867 cycle/op (avg)
lookup_states_hash_djb2       	:    70.711 cycle/op (best)   70.797 cycle/op (avg)
lookup_states_hash_sdb        	:    71.255 cycle/op (best)   71.404 cycle/op (avg)
benchmark for testdata/states_1M_075perc.txt
lookup_states_pext            	:    41.108 cycle/op (best)   41.396 cycle/op (avg)
lookup_states_split           	:    64.753 cycle/op (best)   64.841 cycle/op (avg)
lookup_states_hash1           	:    67.902 cycle/op (best)   68.214 cycle/op (avg)
lookup_states_hash2           	:    73.566 cycle/op (best)   73.694 cycle/op (avg)
lookup_states_hash3           	:    52.465 cycle/op (best)   52.533 cycle/op (avg)
lookup_states_hash_sum0       	:    64.140 cycle/op (best)   64.332 cycle/op (avg)
lookup_states_hash_sumN       	:    64.423 cycle/op (best)   64.617 cycle/op (avg)
lookup_states_hash_djb2       	:    64.980 cycle/op (best)   65.546 cycle/op (avg)
lookup_states_hash_sdb        	:    60.468 cycle/op (best)   60.588 cycle/op (avg)
